Scenario,Related to
I need an appointment for Dr Sridhar for Monday at 9AM.,Hospital
At what time Dr Sridhar is available?,Hospital
My token number is 9. How long will it take for me to see the doctor?,Hospital
My token number is 25. Currently which token number is inside the doctor's room?,Hospital
I have stomach ache. Which doctor can examine my problem?,Hospital
Is Dr Sridhar a Physician or surgeon?,Hospital
"Doctor asked me to visit him after three days. But fever is not reducing. So, want to see the doctor",Hospital
I lost my patient id card. Can you reissue another one?,Hospital
I need an appointment for my Friend. What are the details are needed to get an appointment for Dr Sridhar,Hospital
I heard that Dr Sridhar is on vacation. When will he be back?,Hospital
"I have an appointment with Dr Sridhar on this coming Wednesday. But Wednesday I will be going out of station. So, can I prepone my appointment for today?",Hospital
"My grandfather doesn't know English. So, while interacting with Dr Sridhar, can I accompany my Grandfather?",Hospital
"I have an appointment with Dr Sridhar at 10AM. But my car was down. So, I will be reaching out at 10:30 AM . Is that fine?",Hospital
"Doctor had prescribed this XXXXXXX medicine. But it is out of stock. So, can I take alternate medicine YYYY?",Hospital
"I have an appointment with DR Sridhar at Yashoda Panjagutta branch. But I know that he visits Secunderbad Yashoda as well. So, can you transfer my appointment to Secunderbad Yashoda?",Hospital
Doctor had suggested few tests. The test results are expected in the evening. Do I need to bring the patient also along with the test results in the evening?,Hospital
"My token number id 25. But currently doctor is checking token number 9. I have a train to catch at 5PM. So, can you please swap my token with token number 10?",Hospital
Can your Physiotherapist make home visits?,Hospital
Total procedure cost is 800 rupees. Is that inclusive of doctor fees?,Hospital
Doctor suggested me to go to territory hospital. Which is the nearby territory hospital from this clinic?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. What are the inpatient charges?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. Is my insurance accepted?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. How much is the co-payment charges?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. What are the charges covered under my insurance policy?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. Can my attendant stay with me?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. Can I get food from my home?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment. Can I take my regular medication?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  What kind of rooms available?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  I have kids aged below 12 years. Can they come and see me during visiting hours?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  How many days should I stay here?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  Can I come tomorrow and admit?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  Do I need to get my clothes or hospital provide me the patient dress?,Hospital
Doctor is suggesting me to get admitted in the hospital for better treatment.  Can I get my laptop and connect ?,Hospital
Is your hospital conducting any medical camp in KPHB area?,Hospital
I heard that your hospital is conducting a medical camp. What specialty of doctors will be there in that medical camp?,Hospital
Are the tests free in the medical camp?,Hospital
"In the medical camp, do we need to pay for doctors consultation charges?",Hospital
Will there be any discount on medicines in that medical camp?,Hospital
For how many days this camp will be conducted?,Hospital
"In the medical camp, do they vaccinate children?",Hospital
I need to take 3 appointments from 3 different doctors. Tell me their availability,Hospital
Do you have path lab facility in your clinic?,Hospital
Do you have canteen in your clinic?,Hospital
I may need wheel chair assistance. Can you provide at your clinic?,Hospital
Do you have qualified assistants to take care of my baby while we visit your clinic?,Hospital
Do you have feeding room in your clinic?,Hospital
"Doctor suggested me 10 tests. But now I have less money. So, tell me the priority tests now.",Hospital
"Doctor mentioned to me that he need to attend code blue procedure. So, I would like to come tomorrow. Can my appointment be valid for tomorrow?",Hospital
"By mistake, I have taken appointment for my elder son. But actually needed for my younger son. Can you please transfer the appointment?",Hospital
First time I am visiting your clinic. I would like to complete the registration process. What is the procedure and what are the documents needed?,Hospital
What is the registration charge?,Hospital
Do you have ambulance facility to shift patients?,Hospital
Do you have inhouse pharmacy stores?,Hospital
I would like to pay the doctor's fees thru credit card. Can I do that?,Hospital
Is there any GST on doctor's fees?,Hospital
Do you have any discounts on lab tests/medicines?,Hospital
I am feeling hungry,Restaurant
I have not eaten anything ,Restaurant
I have abdominal pain,Hospital
I have discomfort,Hospital
I have a pain ,Hospital
Is this normal,Hospital
I have a head ache,Hospital
I feel like eating something nice,Restaurant
I have a swelling,Hospital
I feel like drinking something,Restaurant
I need to have something light,Restaurant
How is my general health?,Hospital
i am a foodie,Restaurant
I am depressed,Hospital
I am unable to move,Hospital
I have severe body pain,Hospital
I need tasty food,Restaurant
I am feeling dehydrated,Hospital
I am feeling anaemic,Hospital
I need to eat something on a budget,Restaurant
Any cheap doctor?,Hospital
How is the doctor,Hospital
What is the waiting period,Hospital
Any lady doctor,Hospital
What is the best rated hotel,Restaurant
What is the best rated restaurant,Restaurant
What is the best rated doctor,Hospital
What is the best hospital for heart,Hospital
What is the best hospital for kidneys,Hospital
What is the best hospital for eyes,Hospital
What is the best hospital for neuro,Hospital
Any nice psychiatrist,Hospital
What about opthalmologist,Hospital
any gastroenterologist,Hospital
General physician,Hospital
Any nearby hotels,Restaurant
I am feeling nauseous,Hospital
My infant is cranky,Hospital
I am feeling vomiting sensation,Hospital
something fell on me,Hospital
I hurt myself,Hospital
I have a food poison,Hospital
Something bit me,Hospital
I think a snake bit me,Hospital
Too many mosquitoes,Hospital
Best continental food,Restaurant
highest zomato rated restaurant,Restaurant
Highest swiggy rated hotel,Restaurant
